candidate_rank,orientation,screen_A_to_D_machine_parts,part,layer_z,stage,led,filter,registered_column_1_based,sample_count,in_frame_fraction,valid_fraction,pearson_r,spearman_r,abs_spearman_r
1,mirror_rotate_90,part01;part02;part03;part04,part04,50,B,3,mean5,37,4662,1.0,0.8730337078651685,-0.0022252196240578168,-0.019169817184736808,0.019169817184736808
1,mirror_rotate_90,part01;part02;part03;part04,part01,75,A,1,original,20,123,1.0,0.03367095537914043,-0.07106384326298856,0.03115191786867863,0.03115191786867863
1,mirror_rotate_90,part01;part02;part03;part04,part01,75,A,1,mean3,21,123,1.0,0.03367095537914043,-0.10922922702696919,-0.04725452863197202,0.04725452863197202
1,mirror_rotate_90,part01;part02;part03;part04,part01,75,A,1,mean5,22,123,1.0,0.03367095537914043,-0.13031555294099617,-0.06833512964919367,0.06833512964919367
1,mirror_rotate_90,part01;part02;part03;part04,part01,75,A,2,original,23,1713,1.0,0.4689296468655899,0.043830033037876644,0.04165540516560206,0.04165540516560206
1,mirror_rotate_90,part01;part02;part03;part04,part01,75,A,2,mean3,24,1713,1.0,0.4689296468655899,0.0444218429704269,0.03886520732795942,0.03886520732795942
1,mirror_rotate_90,part01;part02;part03;part04,part01,75,A,2,mean5,25,1713,1.0,0.4689296468655899,0.04392190273691003,0.03234243179342234,0.03234243179342234
1,mirror_rotate_90,part01;part02;part03;part04,part01,75,A,3,original,26,3652,1.0,0.9997262523952916,-0.052813868783871655,-0.06419620822699089,0.06419620822699089
1,mirror_rotate_90,part01;part02;part03;part04,part01,75,A,3,mean3,27,3652,1.0,0.9997262523952916,-0.05325158815126149,-0.06664661490843608,0.06664661490843608
1,mirror_rotate_90,part01;part02;part03;part04,part01,75,A,3,mean5,28,3652,1.0,0.9997262523952916,-0.05921776724797189,-0.07583714371107597,0.07583714371107597
1,mirror_rotate_90,part01;part02;part03;part04,part01,75,B,1,original,29,979,1.0,0.2679989050095812,0.07431655221067615,0.06788402208666758,0.06788402208666758
1,mirror_rotate_90,part01;part02;part03;part04,part01,75,B,1,mean3,30,979,1.0,0.2679989050095812,0.07408170926016078,0.0679472786309674,0.0679472786309674
1,mirror_rotate_90,part01;part02;part03;part04,part01,75,B,1,mean5,31,979,1.0,0.2679989050095812,0.07723133122105051,0.07594312823138609,0.07594312823138609
1,mirror_rotate_90,part01;part02;part03;part04,part01,75,B,2,original,32,2987,1.0,0.8176840952641664,0.49537759770301165,0.56600279991355,0.56600279991355
1,mirror_rotate_90,part01;part02;part03;part04,part01,75,B,2,mean3,33,2987,1.0,0.8176840952641664,0.51767651831903,0.580675510471748,0.580675510471748
1,mirror_rotate_90,part01;part02;part03;part04,part01,75,B,2,mean5,34,2987,1.0,0.8176840952641664,0.5421072048281883,0.5987584850058789,0.5987584850058789
1,mirror_rotate_90,part01;part02;part03;part04,part01,75,B,3,original,35,3621,1.0,0.9912400766493293,0.5326305560028227,0.5520890541357016,0.5520890541357016
1,mirror_rotate_90,part01;part02;part03;part04,part01,75,B,3,mean3,36,3621,1.0,0.9912400766493293,0.5393424298664227,0.5617076818407626,0.5617076818407626
1,mirror_rotate_90,part01;part02;part03;part04,part01,75,B,3,mean5,37,3621,1.0,0.9912400766493293,0.5522687173445514,0.577051280361856,0.577051280361856
1,mirror_rotate_90,part01;part02;part03;part04,part02,75,A,1,original,20,175,1.0,0.04790583082398029,-0.007841876911482335,0.03764136833197986,0.03764136833197986
1,mirror_rotate_90,part01;part02;part03;part04,part02,75,A,1,mean3,21,175,1.0,0.04790583082398029,-0.030268171745651867,0.03820143552303723,0.03820143552303723
1,mirror_rotate_90,part01;part02;part03;part04,part02,75,A,1,mean5,22,175,1.0,0.04790583082398029,-0.05589882562379128,0.006338233745049773,0.006338233745049773
1,mirror_rotate_90,part01;part02;part03;part04,part02,75,A,2,original,23,2762,1.0,0.7560908842047632,-0.026055877210386102,-0.011897834851914733,0.011897834851914733
