part,layer_z,finite_xct5,in_fov,unique_pixels,in_fov_fraction,collision_fraction
part03,83,3648,3648,3511,1.0,0.037554824561403466
part03,84,3569,3569,3477,1.0,0.02577752871952932
part03,85,3679,3679,3515,1.0,0.04457733079641202
part03,86,3610,3610,3516,1.0,0.026038781163434943
part03,87,3684,3684,3512,1.0,0.04668838219326821
part03,88,3575,3575,3486,1.0,0.024895104895104936
part03,89,3713,3713,3510,1.0,0.054672771343926785
part03,90,3607,3607,3510,1.0,0.026892154144718572
part03,91,3649,3649,3513,1.0,0.037270485064401226
part03,92,3569,3569,3498,1.0,0.01989352759876717
part03,93,3679,3679,3522,1.0,0.042674639847784746
part03,94,3607,3607,3522,1.0,0.02356528971444416
part03,95,3679,3679,3536,1.0,0.03886925795053009
part03,96,3608,3608,3510,1.0,0.02716186252771624
part03,97,3712,3712,3532,1.0,0.04849137931034486
part03,98,3651,3651,3544,1.0,0.029307039167351445
part03,99,3715,3715,3543,1.0,0.046298788694481785
part03,100,3650,3650,3521,1.0,0.0353424657534247
part03,101,3745,3745,3547,1.0,0.05287049399198929
part03,102,3647,3647,3542,1.0,0.028790786948176605
part03,103,3680,3680,3546,1.0,0.03641304347826091
part03,104,3647,3647,3539,1.0,0.029613380860981642
part03,105,3713,3713,3559,1.0,0.04147589550228925
part03,106,3647,3647,3556,1.0,0.0249520153550864
part03,107,3713,3713,3575,1.0,0.03716671155399942
part03,108,3645,3645,3551,1.0,0.02578875171467765
part03,109,3743,3743,3583,1.0,0.04274646005877636
part03,110,3651,3651,3577,1.0,0.020268419611065513
part03,111,3748,3748,3599,1.0,0.03975453575240129
part03,112,3650,3650,3583,1.0,0.01835616438356169
part03,113,3775,3775,3614,1.0,0.04264900662251658
part03,114,3685,3685,3608,1.0,0.020895522388059695
part03,115,3776,3776,3622,1.0,0.040783898305084776
part03,116,3685,3685,3615,1.0,0.018995929443690662
part03,117,3807,3807,3633,1.0,0.045705279747832894
part03,118,3723,3723,3636,1.0,0.023368251410153085
part03,119,3808,3808,3646,1.0,0.04254201680672265
part03,120,3723,3723,3630,1.0,0.02497985495568089
part03,121,3839,3839,3663,1.0,0.045845272206303744
part03,122,3765,3765,3669,1.0,0.025498007968127512
part03,123,3845,3845,3687,1.0,0.041092327698309505
part03,124,3766,3766,3662,1.0,0.027615507169410525
part03,125,3872,3872,3695,1.0,0.04571280991735538
part03,126,3798,3798,3694,1.0,0.02738283307003686
part03,127,3872,3872,3711,1.0,0.041580578512396715
part03,128,3799,3799,3698,1.0,0.026585943669386713
part03,129,3904,3904,3726,1.0,0.04559426229508201
part03,130,3798,3798,3719,1.0,0.020800421274354886
part03,131,3903,3903,3743,1.0,0.040994107097104826
part03,132,3837,3837,3727,1.0,0.028668230388324223
part03,133,3936,3936,3758,1.0,0.045223577235772305
part03,134,3842,3842,3763,1.0,0.020562207183758452
part03,135,3939,3939,3781,1.0,0.04011170347804016
part03,136,3879,3879,3787,1.0,0.02371745295179173
part03,137,3968,3968,3800,1.0,0.04233870967741937
part03,138,3875,3875,3797,1.0,0.020129032258064505
part03,139,3967,3967,3817,1.0,0.03781194857574999
part03,140,3874,3874,3808,1.0,0.017036654620547265
part03,141,3999,3999,3832,1.0,0.04176044011002755
part03,142,3912,3912,3840,1.0,0.018404907975460127
part03,143,3999,3999,3861,1.0,0.03450862715678915
