image_lattice_col_index_0_to_49,image_lattice_row_index_0_to_49,predicted_x_px,predicted_y_px,predicted_in_sensor,assigned_in_v3,assigned_source_candidate_index,assigned_raw_x_px,assigned_raw_y_px,nearest_fresh_detector_candidate_distance_px,fresh_detector_candidate_within_v3_assignment_bound,local_mean_darkness_0_to_1
46,0,1523.472060352735,1530.0197053264587,True,False,,,,21.914882374648315,False,0.7819927971188475
47,0,1523.440361772593,1546.2267205527755,True,False,,,,36.41745461767996,False,0.7824729891956783
48,0,1523.408658779325,1562.4359921448306,True,False,,,,32.817366378248586,False,0.7821528611444578
49,0,1523.3769513720101,1578.6475205738582,True,False,,,,19.72023199141459,False,0.7739895958383354
0,1,1510.934546504282,786.1973584182333,True,True,1449,1510.7989772944325,786.8707954417284,0.2079290873092456,True,0.690516206482593
1,1,1510.9020324263058,802.3242344084624,True,False,,,,16.324528375053408,False,0.7058823529411764
2,1,1510.869513829618,818.4533516649902,True,False,,,,12.638330947639295,False,0.708843537414966
3,1,1510.8369907132762,834.5847106550765,True,False,,,,12.17705553321855,False,0.7282913165266106
4,1,1510.804463076338,850.7183118461106,True,False,,,,20.18326551591174,False,0.7316526610644258
5,1,1510.7719309178608,866.8541557056117,True,False,,,,15.249142223991695,False,0.7329331732693076
6,1,1510.739394236902,882.9922427012289,True,True,1575,1510.3744981618584,883.0927936497682,2.0025078999868247,True,0.7342937174869948
7,1,1510.7068530325182,899.132573300742,True,False,,,,17.21738700209515,False,0.7362945178071229
8,1,1510.674307303766,915.2751479720602,True,False,,,,20.543776149278308,False,0.7368547418967587
9,1,1510.6417570497022,931.4199671832228,True,False,,,,14.42828636467987,False,0.7390956382553022
10,1,1510.6092022693826,947.5670314023997,True,True,944,1510.3668547594875,947.2738142564704,2.2461343147490322,True,0.7458183273309325
11,1,1510.576642961863,963.7163410978907,True,False,,,,14.37041108183753,False,0.7516606642657063
12,1,1510.544079126199,979.8678967381261,True,True,1406,1510.2795123175426,979.406258474209,2.4234724203641234,True,0.7516606642657063
13,1,1510.511510761446,996.0216987916663,True,False,,,,13.986834038019015,False,0.7551020408163265
14,1,1510.4789378666592,1012.1777477272019,True,True,1595,1510.5699001206735,1011.5175557054632,2.2392165840165497,True,0.7552621048419368
15,1,1510.4463604408925,1028.3360440135543,True,False,,,,12.769141232410751,False,0.7557422969187675
16,1,1510.413778483202,1044.496588119675,True,False,,,,13.51613066215555,False,0.7569427771108443
17,1,1510.3811919926407,1060.6593805146463,True,True,1462,1510.5270007926454,1059.7223427524907,2.730426353456969,True,0.7634253701480592
18,1,1510.348600968263,1076.8244216676808,True,False,,,,18.83568878011095,False,0.7647859143657463
19,1,1510.3160054091222,1092.9917120481214,True,False,,,,32.37314091860737,False,0.7671868747499
20,1,1510.2834053142728,1109.1612521254424,True,False,,,,28.740064663169736,False,0.7688675470188076
21,1,1510.2508006827675,1125.333042369248,True,False,,,,33.57008816127997,False,0.7664665866346538
22,1,1510.2181915136587,1141.5070832492736,True,False,,,,23.529670610075055,False,0.7729491796718687
23,1,1510.1855778059996,1157.683375235385,True,False,,,,16.817403038509237,False,0.7744697879151661
24,1,1510.152959558843,1173.8619187975787,True,False,,,,23.13921432475536,False,0.7755902360944378
25,1,1510.1203367712403,1190.0427144059831,True,False,,,,36.21682726606157,False,0.777751100440176
26,1,1510.0877094422435,1206.225762530856,True,False,,,,51.1052809755752,False,0.7767907162865146
27,1,1510.0550775709048,1222.4110636425874,True,False,,,,46.60088174697634,False,0.7765506202480993
28,1,1510.022441156275,1238.5986182116972,True,False,,,,30.418569995254487,False,0.7827931172468987
29,1,1509.9898001974052,1254.7884267088368,True,False,,,,14.246000134805767,False,0.7818327330932373
30,1,1509.9571546933469,1270.9804896047895,True,True,1416,1509.7946601139015,1270.4914686405343,2.199655468857571,True,0.779671868747499
31,1,1509.9245046431502,1287.1748073704682,True,False,,,,18.198305739514105,False,0.7793517406962785
32,1,1509.891850045865,1303.3713804769177,True,False,,,,32.7138665434867,False,0.7747899159663866
