source_candidate_index,image_lattice_col_index_0_to_49,image_lattice_row_index_0_to_49,raw_x_px,raw_y_px,detector_response,projective_cell_residual_px,correspondence_source,full_refined_fit_inlier,full_refined_fit_residual_px,heldout_block,train_only_prediction_x_px,train_only_prediction_y_px,train_only_residual_px
878,10,25,1160.9439573848588,934.818665677164,0.1631423532962799,1.1448897023724838,projective_2d_nearest_cell_reassignment,True,1.1448897023724838,False,1162.0330852596126,935.1334477234898,1.1337051046258788
388,11,25,1163.0237704184565,951.9539361158895,0.1743299663066864,1.0447828650198945,projective_2d_nearest_cell_reassignment,True,1.0447828650198945,False,1161.9741952474708,951.8615780355314,1.0536308910415861
140,12,25,1161.7702054092183,967.6408955849073,0.1834275871515274,0.9743597779916637,projective_2d_nearest_cell_reassignment,True,0.9743597779916637,False,1161.9152971243798,968.5920123208825,0.962119873643965
1177,13,25,1162.8934444733486,985.528397875363,0.15662652254104614,1.0470475065462659,projective_2d_nearest_cell_reassignment,True,1.0470475065462659,False,1161.8563908886633,985.3247510555667,1.056859576633403
409,14,25,1161.7676256422585,1001.4199832150117,0.17383821308612823,0.6506018017237329,projective_2d_nearest_cell_reassignment,True,0.6506018017237329,False,1161.7974765386462,1002.0597947157393,0.6405074804234381
46,15,25,1161.7171902041136,1017.8131404861866,0.19178755581378937,0.9935517799263655,projective_2d_nearest_cell_reassignment,True,0.9935517799263655,False,1161.7385540726507,1018.797143777686,0.984235181529492
433,16,25,1161.8155975437696,1035.1351363858378,0.17334644496440887,0.4297485699420857,projective_2d_nearest_cell_reassignment,True,0.4297485699420857,False,1161.6796234889998,1035.5367987178245,0.4240537377591844
355,17,25,1160.5730205756875,1052.9176192413606,0.1751905381679535,1.229853187111613,projective_2d_nearest_cell_reassignment,True,1.229853187111613,False,1161.6206847860162,1052.278760012703,1.227086554259624
441,18,25,1160.6301242178897,1068.7051775118996,0.17297762632369995,0.9947886220756735,projective_2d_nearest_cell_reassignment,True,0.9947886220756735,False,1161.5617379620214,1069.023028139002,0.9843440401630427
69,19,25,1160.6503471573346,1085.0380360565002,0.18895992636680603,1.1347737051403466,projective_2d_nearest_cell_reassignment,True,1.1347737051403466,False,1161.5027830153374,1085.7696035735325,1.1233155941166926
744,20,25,1161.7081029948251,1104.3065906574511,0.1658470630645752,1.7985689393642472,projective_2d_nearest_cell_reassignment,True,1.7985689393642472,False,1161.4438199442843,1102.5184867932371,1.8075289651953668
15,21,25,1161.5228231423548,1120.5610119742541,0.19682812690734863,1.2899598972442268,projective_2d_nearest_cell_reassignment,True,1.2899598972442268,False,1161.3848487471835,1119.2696782751902,1.2986838168164518
358,22,25,1161.507901153277,1135.3999613434385,0.17506761848926544,0.6546933971908839,projective_2d_nearest_cell_reassignment,True,0.6546933971908839,False,1161.3258694223543,1136.0231784965977,0.6492573996918265
467,23,25,1161.5712363763137,1152.2501054611057,0.17236292362213135,0.6132677478667762,projective_2d_nearest_cell_reassignment,True,0.6132677478667762,False,1161.2668819681169,1152.7789879347965,0.6102034716110241
1046,24,25,1161.0800396123434,1168.6189164604777,0.1594541370868683,0.93689802690916,projective_2d_nearest_cell_reassignment,True,0.93689802690916,False,1161.2078863827899,1169.5371070672556,0.9270484275855047
229,25,25,1161.4454594640924,1185.5615857116697,0.17924760282039642,0.7988402457988706,projective_2d_nearest_cell_reassignment,True,0.7988402457988706,True,1161.148882664692,1186.297536371576,0.7934615124622386
431,26,25,1161.4254761411614,1202.9684067787637,0.17334645986557007,0.3423290759127239,projective_2d_nearest_cell_reassignment,True,0.3423290759127239,True,1161.089870812142,1203.060276325489,0.34795251181990916
217,27,25,1160.456643774664,1219.3821782384116,0.1797393560409546,0.73868875614889,projective_2d_nearest_cell_reassignment,True,0.73868875614889,True,1161.0308508234566,1219.825327406859,0.7253240106179335
921,28,25,1160.273264270974,1235.5617933837052,0.16215884685516357,1.259592067905772,projective_2d_nearest_cell_reassignment,True,1.259592067905772,True,1160.971822696954,1236.5926900936813,1.245283863682096
893,29,25,1161.369482450586,1253.1293216189147,0.16289648413658142,0.5105798201380787,projective_2d_nearest_cell_reassignment,True,0.5105798201380787,True,1160.9127864309505,1253.3623648640842,0.5127186445508238
969,30,25,1161.2962772067494,1270.4837664915974,0.1612982451915741,0.5486622751573501,projective_2d_nearest_cell_reassignment,True,0.5486622751573501,False,1160.8537420237624,1270.1343521963263,0.5638508117589264
479,31,25,1161.3153855047535,1286.9537776654363,0.17199410498142242,0.5126380648528635,projective_2d_nearest_cell_reassignment,True,0.5126380648528635,False,1160.794689473706,1286.9086525687992,0.5226477122260165
542,32,25,1160.3213852018184,1303.3529045755256,0.1703958660364151,0.5479367889963753,projective_2d_nearest_cell_reassignment,True,0.5479367889963753,False,1160.7356287790963,1303.6852664600262,0.5310952490700248
633,33,25,1160.2505177563137,1322.3445710004694,0.16842880845069885,1.9135742264038393,projective_2d_nearest_cell_reassignment,True,1.9135742264038393,False,1160.676559938248,1320.4641943486627,1.9280374201366435
564,34,25,1161.2369468856339,1337.133709315302,0.16990411281585693,0.6240428367769073,projective_2d_nearest_cell_reassignment,True,0.6240428367769073,False,1160.6174829494762,1337.2454367134958,0.6294589579210973
912,35,25,1160.4111813718475,1353.6589745079991,0.1625276505947113,0.4201432762162373,projective_2d_nearest_cell_reassignment,True,0.4201432762162373,False,1160.5583978110942,1354.028994033445,0.39822999534908243
947,36,25,1160.72356751072,1370.5749409111615,0.1616670787334442,0.33856579225855066,projective_2d_nearest_cell_reassignment,True,0.33856579225855066,False,1160.4993045214162,1370.8148667875619,0.3284178961900592
271,37,25,1160.1551870786016,1387.3715412716367,0.17777231335639954,0.3893188423090416,projective_2d_nearest_cell_reassignment,True,0.3893188423090416,False,1160.440203078755,1387.6030554550302,0.3671960477127756
489,38,25,1160.188382040566,1403.7064997055572,0.1716252863407135,0.740387619510429,projective_2d_nearest_cell_reassignment,True,0.740387619510429,False,1160.3810934814232,1404.3935605151655,0.7135756831176792
778,39,25,1160.6316467986535,1420.6482980462538,0.16510941088199615,0.6400995656307514,projective_2d_nearest_cell_reassignment,True,0.6400995656307514,False,1160.3219757277332,1421.1863824474167,0.6208308907744416
724,40,25,1161.1349133963756,1438.4219218147825,0.16633881628513336,0.9555885172646611,projective_2d_nearest_cell_reassignment,True,0.9555885172646611,False,1160.2628498159959,1437.981521731364,0.9769580961841878
980,41,25,1160.6159312344018,1454.4427843109784,0.16092944145202637,0.5453329299572769,projective_2d_nearest_cell_reassignment,True,0.5453329299572769,False,1160.2037157445236,1454.7789788467207,0.5319289200246473
1138,42,25,1160.1148956214997,1471.4423702217346,0.15748709440231323,0.17462752250277577,projective_2d_nearest_cell_reassignment,True,0.17462752250277577,False,1160.1445735116263,1471.5787542733317,0.13957573819404673
911,43,25,1159.6492129991693,1488.252261256089,0.1625276505947113,0.4752611723324624,projective_2d_nearest_cell_reassignment,True,0.4752611723324624,False,1160.0854231156143,1488.3808484911751,0.45476800977642695
