part,layer_z,csv_path,rows_total,rows_schema_40,rows_bad_schema,command_x_min_mm,command_x_max_mm,command_y_min_mm,command_y_max_mm,xct_original_finite_count,xct_3x3x3_finite_count,xct_5x5x5_finite_count,xct_original_finite_fraction,xct_3x3x3_finite_fraction,xct_5x5x5_finite_fraction,xct_5x5x5_mean,xct_5x5x5_min,xct_5x5x5_max
part01,94,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0094.csv,3607,3607,0,-6.0,3.0,11.0,16.0,3607,3607,3607,1.0,1.0,1.0,0.5373656362628223,0.32841,0.61746
part01,95,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0095.csv,3679,3679,0,-6.0,3.0,11.0,16.0,3679,3679,3679,1.0,1.0,1.0,0.5376987116064148,0.32745,0.61718
part01,96,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0096.csv,3608,3608,0,-6.0,3.0,11.0,16.0,3608,3608,3608,1.0,1.0,1.0,0.5369708176274944,0.32806,0.61941
part01,97,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0097.csv,3712,3712,0,-6.0,3.0,11.0,16.0,3712,3712,3712,1.0,1.0,1.0,0.5370475969827586,0.33065,0.62263
part01,98,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0098.csv,3651,3651,0,-6.0,3.0,11.0,16.0,3651,3651,3651,1.0,1.0,1.0,0.5368519337167899,0.33373,0.62083
part01,99,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0099.csv,3715,3715,0,-6.0,3.0,11.0,16.0,3715,3715,3715,1.0,1.0,1.0,0.5374900349932705,0.33628,0.61689
part01,100,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0100.csv,3650,3650,0,-6.0,3.0,11.0,16.0,3650,3650,3650,1.0,1.0,1.0,0.5367988273972603,0.33783,0.6221
part01,101,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0101.csv,3745,3745,0,-6.0,3.0,11.0,16.0,3745,3745,3745,1.0,1.0,1.0,0.5375010974632844,0.3371,0.62119
part01,102,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0102.csv,3647,3647,0,-6.0,3.0,11.0,16.0,3647,3647,3647,1.0,1.0,1.0,0.5368833479572251,0.33384,0.6145
part01,103,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0103.csv,3680,3680,0,-6.0,3.0,11.0,16.0,3680,3680,3680,1.0,1.0,1.0,0.5376514402173913,0.3303,0.61325
part01,104,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0104.csv,3647,3647,0,-6.0,3.0,11.0,16.0,3647,3647,3647,1.0,1.0,1.0,0.5363384727173018,0.32676,0.61502
part01,105,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0105.csv,3713,3713,0,-6.0,3.0,11.0,16.0,3713,3713,3713,1.0,1.0,1.0,0.5366426420684083,0.32525,0.61356
part01,106,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0106.csv,3647,3647,0,-6.0,3.0,11.0,16.0,3647,3647,3647,1.0,1.0,1.0,0.535802783109405,0.3309,0.61008
part01,107,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0107.csv,3713,3713,0,-6.0,3.0,11.0,16.0,3713,3713,3713,1.0,1.0,1.0,0.5363648747643415,0.34456,0.60991
part01,108,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0108.csv,3645,3645,0,-6.0,3.0,11.0,16.0,3645,3645,3645,1.0,1.0,1.0,0.5355169657064471,0.35835,0.60946
part01,109,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0109.csv,3743,3743,0,-6.0,3.0,11.0,16.0,3743,3743,3743,1.0,1.0,1.0,0.5357109003473149,0.37012,0.6109
part01,110,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0110.csv,3651,3651,0,-6.0,3.0,11.0,16.0,3651,3651,3651,1.0,1.0,1.0,0.5352538181320187,0.37091,0.60877
part01,111,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0111.csv,3748,3748,0,-6.0,3.0,11.0,16.0,3748,3748,3748,1.0,1.0,1.0,0.5357837193169691,0.3686,0.60304
part01,112,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0112.csv,3650,3650,0,-6.0,3.0,11.0,16.0,3650,3650,3650,1.0,1.0,1.0,0.5351113342465754,0.36212,0.60754
part01,113,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0113.csv,3775,3775,0,-6.0,3.0,11.0,16.0,3775,3775,3775,1.0,1.0,1.0,0.5353697854304635,0.35414,0.61052
part01,114,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0114.csv,3685,3685,0,-6.0,3.0,11.0,16.0,3685,3685,3685,1.0,1.0,1.0,0.5350012455902307,0.35193,0.61022
part01,115,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0115.csv,3776,3776,0,-6.0,3.0,11.0,16.0,3776,3776,3776,1.0,1.0,1.0,0.5353713850635593,0.35461,0.60579
part01,116,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0116.csv,3685,3685,0,-6.0,3.0,11.0,16.0,3685,3685,3685,1.0,1.0,1.0,0.5345902279511533,0.35849,0.60774
part01,117,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0117.csv,3807,3807,0,-6.0,3.0,11.0,16.0,3807,3807,3807,1.0,1.0,1.0,0.5348392461255582,0.36316,0.6103
part01,118,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0118.csv,3723,3723,0,-6.0,3.0,11.0,16.0,3723,3723,3723,1.0,1.0,1.0,0.5345030647327423,0.36606,0.61058
part01,119,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0119.csv,3808,3808,0,-6.0,3.0,11.0,16.0,3808,3808,3808,1.0,1.0,1.0,0.5350179096638655,0.36528,0.60372
part01,120,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0120.csv,3723,3723,0,-6.0,3.0,11.0,16.0,3723,3723,3723,1.0,1.0,1.0,0.5343834219715283,0.36017,0.60853
part01,121,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0121.csv,3839,3839,0,-6.0,3.0,11.0,16.0,3839,3839,3839,1.0,1.0,1.0,0.53501555613441,0.35242,0.61062
part01,122,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0122.csv,3765,3765,0,-6.0,3.0,11.0,16.0,3765,3765,3765,1.0,1.0,1.0,0.5344436494023904,0.35004,0.61179
part01,123,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0123.csv,3845,3845,0,-6.0,3.0,11.0,16.0,3845,3845,3845,1.0,1.0,1.0,0.5349613107932379,0.35566,0.60188
part01,124,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0124.csv,3766,3766,0,-6.0,3.0,11.0,16.0,3766,3766,3766,1.0,1.0,1.0,0.5340569994689326,0.35492,0.60883
